test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,vl,ins,sea,del,total_time
ofs,0,0,0,1,64,1024,11,1,1,0.00618846,0.00678303,0.0127565,0.348254
ofs,0,0,0,1,64,1024,11,1,2,0.0119244,0.0065878,0.0109074,0.348254
ofs,0,0,0,1,64,1024,11,1,4,0.0127246,0.00568353,0.0107061,0.348254
ofs,0,0,0,1,64,1024,11,1,8,0.0107249,0.00559818,0.0130106,0.348254
ofs,0,0,0,1,64,1024,11,1,16,0.015433,0.00659736,0.0113638,0.348254
ofs,0,0,0,1,64,1024,11,1,32,0.0118686,0.006701,0.0123445,0.348254
ofs,0,0,0,1,64,1024,11,1,64,0.0118,0.00606527,0.0111111,0.348254
ofs,0,0,0,1,64,1024,11,1,128,0.0106045,0.00625628,0.0122154,0.348254
ofs,0,0,0,1,64,1024,11,1,256,0.0124116,0.0069886,0.0114189,0.348254
ofs,0,0,0,1,64,1024,11,1,512,0.012093,0.00661219,0.0110769,0.348254
ofs,0,0,0,1,64,1024,3,8,1,0.0179101,0.0426166,0.0252934,2.08726
ofs,0,0,0,1,64,1024,3,8,2,0.049696,0.0779516,0.0354833,2.08726
ofs,0,0,0,1,64,1024,3,8,4,0.0924764,0.142766,0.0664868,2.08726
ofs,0,0,0,1,64,1024,3,8,8,0.18219,0.277844,0.132262,2.08726
ofs,0,0,0,1,64,1024,3,8,16,0.0201606,0.0269917,0.0202795,2.08726
ofs,0,0,0,1,64,1024,3,8,32,0.0349956,0.0466237,0.0254906,2.08726
ofs,0,0,0,1,64,1024,3,8,64,0.0541346,0.0817999,0.041218,2.08726
ofs,0,0,0,1,64,1024,3,8,128,0.0919389,0.163337,0.0800997,2.08726
ofs,0,0,0,1,64,1024,3,8,256,0.0261653,0.0390858,0.0223088,2.08726
ofs,0,0,0,1,64,1024,3,8,512,0.0417794,0.0686626,0.035478,2.08726
omap,0,0,0,1,64,1024,11,1,1,0.0037687,0.00685353,0.00673546,1.15007
omap,0,0,0,1,64,1024,11,1,2,0.00877243,0.0118067,0.0115713,1.15007
omap,0,0,0,1,64,1024,11,1,4,0.0132818,0.0174608,0.0182998,1.15007
omap,0,0,0,1,64,1024,11,1,8,0.0261413,0.0243056,0.029883,1.15007
omap,0,0,0,1,64,1024,11,1,16,0.0390142,0.0366987,0.0380754,1.15007
omap,0,0,0,1,64,1024,11,1,32,0.0509708,0.0453538,0.0436735,1.15007
omap,0,0,0,1,64,1024,11,1,64,0.058527,0.0491782,0.047611,1.15007
omap,0,0,0,1,64,1024,11,1,128,0.0580288,0.0573696,0.0535221,1.15007
omap,0,0,0,1,64,1024,11,1,256,0.06305,0.0577394,0.0580151,1.15007
omap,0,0,0,1,64,1024,11,1,512,0.0724915,0.0708154,0.0687806,1.15007
ofs,0,0,0,1,64,32768,16,1,1,0.0169115,0.0148211,0.0312861,2.39254
ofs,0,0,0,1,64,32768,16,1,2,0.024418,0.0135457,0.0260594,2.39254
ofs,0,0,0,1,64,32768,16,1,4,0.0246545,0.0156247,0.0313651,2.39254
ofs,0,0,0,1,64,32768,16,1,8,0.0240649,0.0138724,0.0309921,2.39254
ofs,0,0,0,1,64,32768,16,1,16,0.0273418,0.0145666,0.0266678,2.39254
ofs,0,0,0,1,64,32768,16,1,32,0.0261574,0.0151406,0.0284191,2.39254
ofs,0,0,0,1,64,32768,16,1,64,0.0290832,0.0149173,0.0242216,2.39254
ofs,0,0,0,1,64,32768,16,1,128,0.0242523,0.0128054,0.0289181,2.39254
ofs,0,0,0,1,64,32768,16,1,256,0.0239094,0.0144006,0.0252512,2.39254
ofs,0,0,0,1,64,32768,16,1,512,0.0292057,0.0155537,0.0252833,2.39254
ofs,0,0,0,1,64,32768,4,8,1,0.0345672,0.0905185,0.0503431,8.01423
ofs,0,0,0,1,64,32768,4,8,2,0.108244,0.170229,0.0877384,8.01423
ofs,0,0,0,1,64,32768,4,8,4,0.199817,0.314779,0.149053,8.01423
ofs,0,0,0,1,64,32768,4,8,8,0.387277,0.590855,0.287279,8.01423
ofs,0,0,0,1,64,32768,4,8,16,0.0532302,0.0658151,0.0513817,8.01423
ofs,0,0,0,1,64,32768,4,8,32,0.0840619,0.120358,0.0721079,8.01423
ofs,0,0,0,1,64,32768,4,8,64,0.152877,0.242659,0.124587,8.01423
ofs,0,0,0,1,64,32768,4,8,128,0.262929,0.455302,0.2216,8.01423
ofs,0,0,0,1,64,32768,4,8,256,0.0460471,0.0534357,0.0419181,8.01423
ofs,0,0,0,1,64,32768,4,8,512,0.0728455,0.0892762,0.0571513,8.01423
omap,0,0,0,1,64,32768,16,1,1,0.00615757,0.0144491,0.0127447,12.7108
omap,0,0,0,1,64,32768,16,1,2,0.0204808,0.0223831,0.0237137,12.7108
omap,0,0,0,1,64,32768,16,1,4,0.0405958,0.0461118,0.0457115,12.7108
omap,0,0,0,1,64,32768,16,1,8,0.05868,0.0821042,0.0788978,12.7108
omap,0,0,0,1,64,32768,16,1,16,0.121162,0.147514,0.149561,12.7108
omap,0,0,0,1,64,32768,16,1,32,0.240919,0.258257,0.261665,12.7108
omap,0,0,0,1,64,32768,16,1,64,0.411159,0.445271,0.472504,12.7108
omap,0,0,0,1,64,32768,16,1,128,0.647346,0.74445,0.711787,12.7108
omap,0,0,0,1,64,32768,16,1,256,1.04943,1.11434,1.1276,12.7108
omap,0,0,0,1,64,32768,16,1,512,1.44485,1.4333,1.45603,12.7108
ofs,0,0,0,1,64,1048576,21,1,1,0.0203493,0.0219649,0.0482442,26.1849
ofs,0,0,0,1,64,1048576,21,1,2,0.0479864,0.0283165,0.0498475,26.1849
ofs,0,0,0,1,64,1048576,21,1,4,0.0490466,0.0216354,0.0477616,26.1849
ofs,0,0,0,1,64,1048576,21,1,8,0.043783,0.0210399,0.0523941,26.1849
ofs,0,0,0,1,64,1048576,21,1,16,0.0441281,0.0272322,0.0495494,26.1849
ofs,0,0,0,1,64,1048576,21,1,32,0.0457968,0.0274459,0.0470703,26.1849
ofs,0,0,0,1,64,1048576,21,1,64,0.0424154,0.0269545,0.0487347,26.1849
ofs,0,0,0,1,64,1048576,21,1,128,0.0469921,0.0279742,0.0453837,26.1849
ofs,0,0,0,1,64,1048576,21,1,256,0.0464877,0.029012,0.0478842,26.1849
ofs,0,0,0,1,64,1048576,21,1,512,0.0484445,0.029134,0.0484034,26.1849
ofs,0,0,0,1,64,1048576,5,8,1,0.0686766,0.1557,0.104601,36.5375
ofs,0,0,0,1,64,1048576,5,8,2,0.183093,0.30536,0.155154,36.5375
ofs,0,0,0,1,64,1048576,5,8,4,0.342338,0.58986,0.271267,36.5375
ofs,0,0,0,1,64,1048576,5,8,8,0.682072,1.14359,0.500155,36.5375
ofs,0,0,0,1,64,1048576,5,8,16,0.0947616,0.134755,0.0998997,36.5375
ofs,0,0,0,1,64,1048576,5,8,32,0.163399,0.252392,0.138614,36.5375
ofs,0,0,0,1,64,1048576,5,8,64,0.287485,0.443289,0.250724,36.5375
ofs,0,0,0,1,64,1048576,5,8,128,0.551781,0.91619,0.426222,36.5375
ofs,0,0,0,1,64,1048576,5,8,256,0.0833272,0.110117,0.0881,36.5375
ofs,0,0,0,1,64,1048576,5,8,512,0.0882058,0.110876,0.0890151,36.5375
omap,0,0,0,1,64,1048576,21,1,1,0.00979287,0.0478655,0.0478519,41.7646
omap,0,0,0,1,64,1048576,21,1,2,0.0401594,0.046389,0.0423952,41.7646
omap,0,0,0,1,64,1048576,21,1,4,0.0620512,0.0816287,0.0824075,41.7646
omap,0,0,0,1,64,1048576,21,1,8,0.148974,0.165408,0.158428,41.7646
omap,0,0,0,1,64,1048576,21,1,16,0.263709,0.305392,0.291905,41.7646
omap,0,0,0,1,64,1048576,21,1,32,0.437937,0.570528,0.572999,41.7646
omap,0,0,0,1,64,1048576,21,1,64,0.922754,1.11284,1.09576,41.7646
omap,0,0,0,1,64,1048576,21,1,128,1.58779,1.99238,1.99221,41.7646
omap,0,0,0,1,64,1048576,21,1,256,3.02912,3.55976,3.83563,41.7646
